,banglaname,banglishnames
7578,লতিফুর রহমান,Latifur Rahman
7579,কেন লোচ,Ken Loach
7580,সু অ্যান ল্যাংডন,Sue Ane Langdon
7581,শরিফা খাতুন,Sharifa Khatun
7582,ফিল শার্প,Phil Sharpe
7583,ফজল শাহাবুদ্দীন,Fazal Shahabuddin
7584,শিশির কুমার দাশ,Sisir Kumar Das
7585,শুভেন্দু চট্টোপাধ্যায়,Subhendu Chatterjee
7586,সঞ্জীব চট্টোপাধ্যায়,Sanjib Chattopadhyay
7587,মুহাম্মদ সাইদ,Mufti Mohammad Sayeed
7588,সাবিত্রী,Savitri
7589,সামুয়েল ছাও ছুং থিং,Samuel C. C. Ting
7590,ব্যারি সিনক্লেয়ার,Barry Sinclair
7591,সিমাস ম্যালন,Seamus Mallon
7592,বব সিম্পসন,Bob Simpson
7593,সিরাজুল ইসলাম চৌধুরী,Serajul Islam Choudhury
7594,সিলভিও বেরলুসকোনি,Silvio Berlusconi
7595,সুফি,Naren Ray
7596,সুমিতা দেবী,Sumita Devi
7597,সুষমা শেঠ,Sushma Seth
7598,সেপ ব্ল্যাটার,Sepp Blatter
7599,কেলি সেম্যুর,Kelly Seymour
7600,গারফিল্ড সোবার্স,Garfield Sobers
7601,মাইকেল সোমারে,Michael Somare
7602,ডিন স্টকওয়েল,Dean Stockwell
7603,অ্যালেন স্মিথ,Alan Smith
7604,কিথ স্ল্যাটার,Keith Slater
7605,কাজী এবাদুল হক,Kazi Ebadul Haque
7606,ডেনিস হপার,Dennis Hopper
7607,হামিদা হোসেন,Hameeda Hossain
7608,জিয়া হায়দার,Zia Haider
7609,রয় হারফোর্ড,Roy Harford
7610,হারাল্ড ৎসুর হাউজেন,Harald zur Hausen
7611,গণেশ হালুই,Ganesh Haloi
7612,এস এম আহমেদ হুমায়ুন,Ahmed Humayun
7613,হোশিয়ার সিং,Hoshiar Singh Dahiya
7614,মনিকা আলী,Monica Ali
7615,এ পি আবদুল্লাহকুট্টি,A. P. Abdullakutty
7616,মালিনী অবস্থী,Malini Awasthi
7617,পালি চন্দ্র,Pali Chandra
7618,অনুপমা চোপড়া,Anupama Chopra
7619,মারিসল এস্পিনোজা,Marisol Espinoza
7620,অনুপ চেতিয়া,Anup Chetia
7621,অমলা আক্কিনেনি,Amala Akkineni
7622,অশ্বিনী নাচাপ্পা,Ashwini Nachappa
7623,অ্যান্ড্রু জেসার্স,Andrew Zesers
7624,আজম আলী,Azam Ali
7625,মিশেল আজানাভিস্যুস,Michel Hazanavicius
7626,আনোয়ার উল হক মুজাহিদ,Anwar ul Haq Mujahid
7627,আবুল কালাম আজাদ,Abul Kalam Azad
7628,আরবাজ খান,Arbaaz Khan
7629,ইংলাক সিনাওয়াত্রা,Yingluck Shinawatra
7630,ইভ রোডিয়ার,Yves Rodier
7631,ইয়ুর্গেন ক্লপ,Jürgen Klopp
7632,এলমার হুসেয়নভ,Elmar Huseynov
7633,ধ্রুব এষ,Dhruba Esh
7634,ওয়াচৌস্কি ভ্রাতৃদ্বয়,The Wachowskis
7635,এমিলি ওয়াটসন,Emily Watson
7636,কমলেশ বাল্মীকি,Kamlesh Balmiki
7637,মুশতাক কাদরী,Mushtaq Qadri
7638,কার্ট কোবেইন,Kurt Cobain
7639,গ্যারি কার্স্টেন,Gary Kirsten
7640,ড্যারিল কালিনান,Daryll Cullinan
7641,মাতিয়ো কাসোভিস,Mathieu Kassovitz
7642,কিটু গিদওয়ানি,Kitu Gidwani
7643,নিকোল কিডম্যান,Nicole Kidman
7644,অক্ষয় কুমার,Akshay Kumar
7645,কেইন,Kane
7646,ক্রিম পাফ,Creme Puff
7647,ক্রিস অ্যাঞ্জেল,Criss Angel
7648,ইরফান খান,Irrfan Khan
7649,গুরমিত রাম রহিম সিং,Gurmeet Ram Rahim Singh
7650,গোলাম মাওলা রনি,Golam Maula Rony
7651,জন কক্‌ক্রফট,John Cockcroft
7652,আরিফ জাকারিয়া,Arif Zakaria
7653,জাহিদ রাজ্জাক,Zahid Razzak
7654,রোশন জুরঙ্গপতি,Roshan Jurangpathy
7655,জুলিয়া রবার্টস,Julia Roberts
7656,জুহি চাওলা,Juhi Chawla
7657,জেনি শিমিজু,Jenny Shimizu
7658,জেফ জেরেট,Jeff Jarrett
7659,স্টিভ জেমস,Steve James
7660,রিডলি জ্যাকবস,Ridley Jacobs
7661,ঝুম্পা লাহিড়ী,Jhumpa Lahiri
7662,টিপু সুলতান,Tipu Sultan
7663,লরা ডার্ন,Laura Dern
7664,ডেভিড গেটা,David Guetta
7665,তারেক রহমান,Tarique Rahman
7666,মাধুরী দীক্ষিত,Madhuri Dixit
7667,দীপ্তি ভটনাগর,Deepti Bhatnagar
7668,বেনিসিও দেল তোরো,Benicio del Toro
7669,দোলা সেন,Dola Sen
7670,ধনীরাম পৌডেল,Dhaniram Paudel
7671,নজরুল ইসলাম বাবু,Nazrul Islam Babu
7672,নন্দনা সেন,Nandana Sen
7673,নালিন পেকগুল,Nalin Pekgul
7674,নাসিরউদ্দিন আহমেদ পিন্টু,Nasiruddin Ahmed Pintu
7675,নীল স্মিথ,Neil Smith
7676,পল ইন্স,Paul Ince
7677,পামেলা অ্যান্ডারসন,Pamela Anderson
7678,প্রিচার মস,Preacher Moss
7679,জেমি ফক্স,Jamie Foxx
7680,ফয়সাল জামান খান,Faisal Zaman Khan
7681,পল ফারব্রেস,Paul Farbrace
7682,উইল ফেরল,Will Ferrell
7683,বসন্ত বেনুগোপাল,Vasanth Venugopal
7684,রাহুল বসু,Rahul Bose
7685,নিসরিন বারওয়ারী,Nisrin Barwari
7686,ইয়ান বিশপ,Ian Bishop
7687,কেনি বেঞ্জামিন,Kenny Benjamin
7688,ব্রায়ন পি. শেমিডিট,Brian Schmidt
7689,জাস্টিন ভন,Justin Vaughan
7690,ভিন ডাইসেল,Vin Diesel
7691,দ্যনি ভিলনোভ,Denis Villeneuve
7692,ভিশ্মদেব চক্রবর্তী,Bhishmadev Chakrabortty
7693,মমতা বালা ঠাকুর,Mamata Bala Thakur
7694,শঙ্কর মহাদেবন,Shankar Mahadevan
7695,মাইকেল জনসন,Michael Johnson
7696,মারিয়া বেলো,Maria Bello
7697,মারিয়ান পার্ল,Mariane Pearl
7698,মাহফুজ আহমেদ,Mahfuz Ahmed
7699,অরপ্যাড মিকলোস,Arpad Miklos
7700,মিতা বশিষ্ঠ,Mita Vashisht
7701,মিতালি মুখার্জী,Mitali Mukerji
7702,মিল্টন খন্দকার,Milton Khondokar
7703,মুহসিন আল-রামলি,Muhsin al-Ramli
7704,মেনহাজ হুদা,Menhaj Huda
7705,মো: জাহাঙ্গীর আল মুস্তাহিদুর রহমান,Md Jahangir Al Mustahidur Rahman
7706,মোনিক,Mo\Nique
7707,মোহাম্মদ আব্দুল মুনিম চৌধুরী,Abdul Munim Chowdhury
7708,মোহাম্মদ নাশিদ,Mohamed Nasheed
7709,মোহাম্মদ হোসেন মিলজার,Mohamed Hossain Milzer
7710,গাস ম্যাকে,Gus Mackay
7711,ম্যালানি থর্নটন,Melanie Thornton
7712,রবের্তো বাজ্জো,Roberto Baggio
7713,হাবিবুর রহমান,Habibur Rahman
7714,রাগেহ ওমর,Rageh Omaar
7715,রাজীব সূরি,Rajeev Suri
7716,আশুতোষ রানা,Ashutosh Rana
7717,মার্ক রাফালো,Mark Ruffalo
7718,রিড হফম্যান,Reid Hoffman
7719,রিনাত ফৌজিয়া,Reenat Fauzia
7720,র‌্যানমোর মার্টিনেজ,Ranmore Martinesz
7721,লরেন বুথ,Lauren Booth
7722,লিয়েভ শ্রাইবার,Liev Schreiber
7723,লেইলা ফারসাখ,Leila Farsakh
7724,লেনিন গনি,Lenin Gani
7725,শফিকুল ইসলাম মানিক,Shafiqul Islam Manik
7726,শাহানুদ্দীন চৌধুরী,Shahanuddin Choudhury
7727,শুভা টোলে,Shubha Tole
7728,শেখ পাশা হাবিব উদ্দিন,Sheikh Pasha Habib Uddin
7729,সঞ্জনা কাপুর,Sanjana Kapoor
7730,সত্য নাদেলা,Satya Nadella
7731,সাইফ আলি খান,Saif Ali Khan
7732,সাফি উদ্দিন সাফি,Shafi Uddin Shafi
7733,সালাউদ্দিন আহমদ,Salauddin Ahmed
7734,সু গার্ডনার,Sue Gardner
7735,সুং জেগি,Sung Jae-gi
7736,সুন্দর পিচাই,Sundar Pichai
7737,সুপ্রিয়া পিলগাঁওকর,Supriya Pilgaonkar
7738,সুমন পোখরেল,Suman Pokhrel
7739,সেলিম রেহমান,Salim Rehman
7740,সৈয়দা আসিফা আশরাফী পাপিয়া,Syeda Asifa Ashrafi Papia
7741,জেসন স্টেথাম,Jason Statham
7742,স্যাম টেইলর-জনসন,Sam Taylor-Johnson
7743,ফিলিপ সিমোর হফম্যান,Philip Seymour Hoffman
7744,হাসান তিলকরত্নে,Hashan Tillakaratne
7745,জাহিদ হাসান,Zahid Hasan
7746,হিরোসাই নোহারা,Hiroshi Nohara
7747,রোল্যান্ড হোল্ডার,Roland Holder
7748,স্যাম হ্যারিস,Sam Harris
7749,আখিম ম্যুলার,Achim Müller
7750,সরোজ পাঠক,Saroj Pathak
7751,অজিত রায়,Ajit Roy
7752,অন্না হজারে,Anna Hazare
7753,অ্যান্থনি জেমস লেগেট,Anthony James Leggett
7754,আইভান এডওয়ার্ড সাদারল্যান্ড,Ivan Sutherland
7755,আঞ্জুমান আরা জামিল,Anjuman Ara Jamil
7756,আনন্দমোহন চক্রবর্তী,Ananda Mohan Chakrabarty
7757,আবু তাহের,Abu Taher
7758,আবু হাসেম খান চৌধুরী,Abu Hasem Khan Choudhury
7759,জুলিয়ানো আমাতো,Giuliano Amato
7760,আর. পি. উলাগানাম্বি,R. P. Ulaganambi
7761,আলবার্ট ফার্ট,Albert Fert
7762,আলবের্তো ফুজিমোরি,Alberto Fujimori
7763,আলমগীর কবির,Alamgir Kabir
7764,ফারুক ইঞ্জিনিয়ার,Farokh Engineer
7765,ইন্দিরা নাথ,Indira Nath
7766,ইসলাম করিমভ,Islam Karimov
7767,ন্যাটালি উড,Natalie Wood
7768,উমা রামা রাও,Uma Rama Rao
7769,লিভ উলমান,Liv Ullmann
7770,এ এফ এম নাজমুল হুদা,AFM Nazmul Huda
7771,এ. এন. এম. নূরুজ্জামান,A. N. M. Nuruzzaman
7772,এনামুল হক,Enamul Huq
7773,এনামুল হক মোস্তফা শহীদ,Enamul Haque Mostafa Shahid
7774,এম হামিদুল্লাহ খান,Muhammad Hamidullah Khan
7775,এস জনকী,S. Janaki
7776,ওয়াজিহুদ্দিন আহমেদ,Wajihuddin Ahmed
7777,চেস্টার ওয়াটসন,Chester Watson
7778,ওয়াহিদ মুরাদ,Waheed Murad
7779,বেভান কংডন,Bevan Congdon
7780,কফি আনান,Kofi Annan
7781,কাচ তন্তু,Glass fiber
7782,কান্তা গুপ্তা,Kanta Gupta
7783,ক্লাউদিয়া কার্দিনালে,Claudia Cardinale
7784,মোবারক হোসেন খান,Mobarak Hossain Khan
7785,খালেদ মোশাররফ,Khaled Mosharraf
7786,গিরিশ কারনাড,Girish Karnad
7787,এলিয়ট গোল্ড,Elliott Gould
7788,চার্লি গ্রিফিথ,Charlie Griffith
7789,জন গ্লিসন,John Gleeson
7790,চঞ্চল কুমার মজুমদার,Chanchal Kumar Majumdar
7791,চরণ দাস সিধু,Charan Dass Sidhu
7792,চুনী গোস্বামী,Chuni Goswami
7793,বেলাল চৌধুরী,Belal Chowdhury
7794,জটু লাহিড়ী,Jatu Lahiri
7795,আব্দুল জব্বার,Abdul Jabbar
7796,জয়ন্ত বিষ্ণু নারলিকর,Jayant Narlikar
7797,অ্যালেন জোন্স,Alan Jones
7798,ঝর্ণা ধারা চৌধুরী,Jharna Dhara Chowdhury
7799,ডার্বিস এরোগলু,Derviş Eroğlu
7800,ডেভিড ব্যাল্টিমোর,David Baltimore
7801,ডোনাল্ড কানুথ,Donald Knuth
7802,স্পেন্সার ড্রাইডেন,Spencer Dryden
7803,তারিক মেহমুদ,Tariq Mehmood
7804,তালুকদার মনিরুজ্জামান,Talukder Moniruzzaman
7805,তাহির হুসাইন,Tahir Hussain
7806,গ্রাহাম থমাস,Grahame Thomas
